id	name	sido	gu	addr	x	y	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	class_2023	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022	student_2023
S050001416	새별초등학교	광주	광산구	광주광역시 광산구 풍영로 125	126.8124185	35.182878	0	0	0	0	0	0	19	31	37	41	44	44	49	50	50	47	0	0	0	0	0	0	450	671	840	975	1068	1118	1084	1067	1085	1027
S050001276	선운초등학교	광주	광산구	광주광역시 광산구 선운중앙로 11	126.775033	35.1495305	0	0	0	0	6	6	6	25	33	38	40	48	54	56	60	61	0	0	0	0	77	94	123	588	674	862	1104	1241	1255	1268	1312	1358
S050001151	선창초등학교	광주	광산구	광주광역시 광산구 신창로35번길 67	126.8347625	35.1881846	35	39	40	40	40	42	42	42	48	48	48	48	48	47	48	45	1224	1341	1269	1372	1338	1323	1241	1216	1184	1169	1174	1157	1090	1044	1011	964
S050001246	성덕초등학교	광주	광산구	광주광역시 광산구 풍영로 313	126.8144328	35.1992041	0	0	0	13	17	21	30	40	40	42	42	56	56	56	54	52	0	0	0	184	404	479	790	908	1059	1125	1214	1323	1292	1276	1229	1152
S050000454	송우초등학교	광주	광산구	광주광역시 광산구 사암로158번길 49	126.810013	35.15904	42	40	37	35	32	31	26	25	25	24	24	22	30	26	28	28	1315	1176	995	844	770	679	594	536	497	444	414	432	424	512	568	571
S050000457	송정동초등학교	광주	광산구	광주광역시 광산구 사암로27번길 58	126.8043455	35.1459521	33	34	31	30	29	30	30	27	26	26	25	24	24	23	21	21	1047	945	831	774	702	674	641	572	571	547	532	502	487	460	443	404
S050000460	송정서초등학교	광주	광산구	광주광역시 광산구 상무대로 114	126.787513	35.130265	39	37	35	33	32	29	26	23	22	23	23	21	23	23	23	22	1177	1033	908	795	703	618	541	479	435	432	432	430	475	462	466	426
S050000462	송정중앙초등학교	광주	광산구	광주광역시 광산구 어등대로653번길 90	126.795	35.14784	30	29	27	25	23	21	21	21	20	19	20	20	20	19	19	20	925	819	729	639	567	503	453	419	408	397	390	409	393	374	353	374
S050000464	송정초등학교	광주	광산구	광주광역시 광산구 송도로208번길 25	126.796938	35.131215	40	42	42	41	41	41	41	40	38	38	38	35	34	32	30	30	1328	1247	1145	1073	1050	984	968	900	835	809	789	757	719	665	631	598
S050001154	수문초등학교	광주	광산구	광주광역시 광산구 신창로105번길 9	126.8367861	35.1947421	42	45	45	48	50	50	50	50	50	49	48	46	42	39	37	38	1639	1610	1549	1656	1575	1505	1448	1340	1235	1154	1095	1044	936	891	863	847
S050001234	수완초등학교	광주	광산구	광주광역시 광산구 장덕로 143	126.8244194	35.1978381	0	18	35	37	43	43	51	52	52	52	52	52	52	63	63	63	0	533	1227	1260	1417	1423	1702	1745	1776	1799	1792	1795	1771	1681	1678	1637
NONE	신가초등학교	광주	광산구	광주광역시 광산구 신가로40번길 21	126.8278526	35.1826649	19	18	17	16	15	14	13	14	12	12	11	10	7	0	0	0	531	465	398	341	312	274	252	244	214	184	166	117	85	0	0	0
S050001152	신창초등학교	광주	광산구	광주광역시 광산구 신창로162번길 10	126.8407166	35.1980742	41	42	44	44	44	44	47	47	55	55	56	56	56	56	54	53	1397	1432	1430	1398	1373	1359	1378	1432	1450	1474	1454	1455	1408	1313	1270	1179
S050000468	어등초등학교	광주	광산구	광주광역시 광산구 월곡산정로 50	126.807775	35.165382	43	43	38	36	34	31	30	28	27	26	26	25	23	23	22	20	1328	1217	972	870	792	690	646	598	572	526	520	498	462	440	389	350
S050001124	어룡초등학교	광주	광산구	광주광역시 광산구 소촌로 122	126.7931824	35.1552099	37	40	40	40	40	42	42	39	36	39	38	39	39	39	39	39	1338	1315	1219	1174	1142	1070	993	911	843	814	852	861	827	826	858	852
S050001134	영천초등학교	광주	광산구	광주광역시 광산구 목련로 123	126.8117595	35.1725834	25	25	25	27	27	27	27	25	25	24	23	21	19	19	18	20	865	832	780	735	713	671	613	580	553	531	471	430	372	328	325	322
S050000470	운남초등학교	광주	광산구	광주광역시 광산구 하남대로 248-22	126.8198595	35.1772664	48	48	44	42	43	41	40	41	40	40	40	39	38	35	32	29	1642	1469	1247	1131	1071	972	923	898	860	812	789	783	739	678	607	584
S050000474	월계초등학교	광주	광산구	광주광역시 광산구 첨단내촌로 83	126.835038	35.213526	52	48	44	43	42	39	36	36	32	31	30	30	27	26	26	21	1677	1473	1288	1175	1051	922	864	789	727	688	657	651	573	537	528	459
S050000475	월곡초등학교	광주	광산구	광주광역시 광산구 월곡산정로 107	126.8148	35.166532	46	43	39	36	36	34	33	32	33	32	33	35	36	37	39	42	1474	1285	1111	971	916	828	747	716	750	728	756	774	754	759	789	855
S050001150	월봉초등학교	광주	광산구	광주광역시 광산구 산월로 101	126.8481145	35.2094334	38	40	40	40	40	40	40	38	37	37	36	42	42	43	42	44	1335	1318	1231	1195	1121	1047	966	858	823	815	819	899	927	946	961	941
S050001373	은빛초등학교	광주	광산구	광주광역시 광산구 수완로33번길 11	126.8279651	35.187856	0	0	0	0	0	22	28	28	29	29	29	33	34	34	35	35	0	0	0	0	0	643	709	744	749	787	791	822	822	816	833	799
