id	name	addr	x	y	type
S010001244	서울영신초등학교	서울특별시 영등포구 도신로60길 23	126.917937	37.51005	유지
S010001245	서울영원초등학교	서울특별시 영등포구 도영로 22길 31	126.9021179	37.5107497	유지
S010001246	서울영일초등학교	서울특별시 구로구 남부순환로105길 218	126.8837829	37.4853862	유지
S010001247	서울영중초등학교	서울특별시 영등포구 양산로 185	126.9039299	37.5237979	유지
S010001248	서울오류남초등학교	서울특별시 구로구 서해안로24길 22	126.8385122	37.4896598	유지
S010001249	서울오류초등학교	서울특별시 구로구 경인로19길 39	126.8423491	37.4983753	유지
S010001250	서울오정초등학교	서울특별시 구로구 경인로2길 10	126.8266384	37.4893596	유지
S010001251	서울온수초등학교	서울특별시 구로구 부일로 893	126.8259125	37.4941929	유지
S010001252	서울우신초등학교	서울특별시 영등포구 신길로 190	126.9118545	37.5098583	유지
S010001253	서울윤중초등학교	서울특별시 영등포구 여의나루로2길 14	126.9230156	37.5199238	유지
S010001254	서울정심초등학교	서울특별시 금천구 독산로78다길 89	126.9084184	37.4716719	유지
S010001255	서울탑동초등학교	서울특별시 금천구 탑골로 47-3	126.9147558	37.4529246	유지
S010001394	경희초등학교	서울특별시 동대문구 경희대로 26	127.0525009	37.5964494	유지
S010001395	금성초등학교	서울특별시 중랑구 신내로21길 55	127.0897092	37.61534	유지
S010001396	서울삼육초등학교	서울특별시 동대문구 회기로10길 63	127.0476832	37.5887992	유지
S010001397	서울군자초등학교	서울특별시 동대문구 한천로6길 21	127.0615019	37.5644803	유지
S010001398	서울답십리초등학교	서울특별시 동대문구 전농로3길 23	127.0554086	37.568774	유지
S010001399	서울동답초등학교	서울특별시 동대문구 답십리로60길 12	127.0645135	37.5720121	유지
S010001400	서울동원초등학교	서울특별시 중랑구 송림길 114	127.1051446	37.6046698	유지
S010001401	서울망우초등학교	서울특별시 중랑구 망우로72길 49	127.1033833	37.5985751	유지
S010001402	서울면남초등학교	서울특별시 중랑구 면목로30나길 38	127.0882218	37.5770524	유지
S010001403	서울면동초등학교	서울특별시 중랑구 면목로57길 32	127.0867853	37.5854511	유지
S010001404	서울면목초등학교	서울특별시 중랑구 면목로 434	127.0876476	37.5912922	유지
S010001405	서울면북초등학교	서울특별시 중랑구 용마공원로5길 32	127.1034519	37.5946237	유지
S010001406	서울면일초등학교	서울특별시 중랑구 용마산로100길 13	127.0997979	37.5920729	유지
S010001407	서울면중초등학교	서울특별시 중랑구 용마산로70길 43	127.0966595	37.5823767	유지
S010001408	서울묵동초등학교	서울특별시 중랑구 동일로138길 27	127.0812806	37.6042645	유지
S010001409	서울배봉초등학교	서울특별시 동대문구 사가정로 193	127.0660625	37.5802181	유지
S010001410	서울봉화초등학교	서울특별시 중랑구 신내로15길 110	127.0923215	37.6136152	유지
S010001411	서울상봉초등학교	서울특별시 중랑구 동일로126가길 11	127.0831715	37.597979	유지
S010001412	서울신내초등학교	서울특별시 중랑구 용마산로125나길 22	127.1000335	37.6045662	유지
S010001413	서울신답초등학교	서울특별시 동대문구 천호대로 177	127.0434899	37.5732603	유지
S010001414	서울신묵초등학교	서울특별시 중랑구 동일로149길 46	127.0755487	37.6070767	유지
S010001415	서울신현초등학교	서울특별시 중랑구 봉화산로 188	127.0936591	37.6056743	유지
S010001416	서울안평초등학교	서울특별시 동대문구 장한로14길 61	127.0721244	37.5659619	유지
S010001417	서울용두초등학교	서울특별시 동대문구 천호대로13길 43	127.0289072	37.5761767	유지
S010001418	서울원묵초등학교	서울특별시 중랑구 숙선옹주로 109	127.0859845	37.6180397	유지
S010001419	서울이문초등학교	서울특별시 동대문구 신이문로 16	127.0643222	37.6022309	유지
S010001421	서울전곡초등학교	서울특별시 동대문구 전농로 172	127.05645	37.580525	유지
S010001422	서울전농초등학교	서울특별시 동대문구 사가정로 66	127.0542904	37.5744909	유지
S010001423	서울전동초등학교	서울특별시 동대문구 전농로16길 61	127.061438	37.5794265	유지
S010001424	서울종암초등학교	서울특별시 동대문구 무학로44길 25	127.0314283	37.5821922	유지
S010001425	서울중곡초등학교	서울특별시 중랑구 면목로23길 20	127.0832735	37.5745692	유지
S010001426	서울중랑초등학교	서울특별시 중랑구 봉우재로6길 26	127.0754488	37.5890172	유지
S010001427	서울중목초등학교	서울특별시 중랑구 동일로 665	127.0793795	37.5902188	유지
S010001428	서울중화초등학교	서울특별시 중랑구 신내로7가길 22	127.0944866	37.6033414	유지
S010001429	서울중흥초등학교	서울특별시 중랑구 봉화산로 82	127.0840851	37.6017578	유지
S010001430	서울청량초등학교	서울특별시 동대문구 회기로25길 31	127.0559381	37.5922665	유지
S010001431	서울홍릉초등학교	서울특별시 동대문구 회기로 90	127.0470765	37.5911081	유지
S010001432	서울홍파초등학교	서울특별시 동대문구 고산자로 518	127.0393968	37.5862001	유지
S010001433	서울휘경초등학교	서울특별시 동대문구 망우로6길 48	127.0583533	37.5858983	유지
S010001434	은석초등학교	서울특별시 동대문구 장안벚꽃로 205	127.0759074	37.5785668	유지
S010001576	서울강남초등학교	서울특별시 동작구 강남초등길 15	126.9527103	37.5062787	유지
S010001577	서울관악초등학교	서울 관악구 청룡4길 49	126.942925	37.480668	유지
S010001578	서울구암초등학교	서울특별시 관악구 구암길 1	126.9468142	37.4895118	유지
S010001579	서울난곡초등학교	서울특별시 관악구 난곡로35길 102	126.9166927	37.4692723	유지
S010001580	서울난우초등학교	서울특별시 관악구 난우길 40	126.9174174	37.4770796	유지
S010001581	서울난향초등학교	서울특별시 관악구 난향길 9	126.9175428	37.46229	유지
S010001582	서울남부초등학교	서울특별시 관악구 남부순환로163길 14	126.9221042	37.4851786	유지
S010001583	서울남사초등학교	서울특별시 동작구 동작대로13길 22	126.9789897	37.4826872	유지
S010001584	서울남성초등학교	서울특별시 동작구 사당로23길 57-14	126.975624	37.4844213	유지
S010001585	서울노량진초등학교	서울특별시 동작구 장승배기로 160	126.9407391	37.5117336	유지
S010001586	서울당곡초등학교	서울특별시 관악구 보라매로2길 23	126.9296408	37.4902678	유지
S010001587	서울대림초등학교	서울특별시 동작구 대방동1길 22	126.9253283	37.5006005	유지
S010001588	서울동작초등학교	서울특별시 동작구 동작대로29길 214	126.9772236	37.4942367	유지
S010001589	서울문창초등학교	서울특별시 동작구 신대방2길 14	126.91375	37.4888596	유지
S010001590	서울미성초등학교	서울특별시 관악구 문성로 79	126.9126553	37.4781377	유지
S010001591	서울본동초등학교	서울특별시 동작구 노량진로26길 16-40	126.9535754	37.5100424	유지
S010001592	서울봉천초등학교	서울특별시 관악구 행운1라길 17	126.9582882	37.4830879	유지
S010001593	서울사당초등학교	서울특별시 관악구 남현4길 51	126.973712	37.4736311	유지
S010001594	서울삼성초등학교	서울특별시 관악구 대학7길 52	126.941	37.46791	유지
S010001595	서울상도초등학교	서울특별시 동작구 성대로21길 62	126.9374476	37.4997473	유지
S010001596	서울신길초등학교	서울특별시 동작구 알마타길 16	126.9269611	37.5104701	유지
S010001597	서울신남성초등학교	서울특별시 동작구 사당로 146	126.9652047	37.4889471	유지
S010001598	서울신림초등학교	서울특별시 관악구 문성로28길 31	126.927463	37.476951	유지
S010001599	서울신봉초등학교	서울특별시 관악구 양녕로6나길 1	126.9491806	37.4854265	유지
S010001600	서울신상도초등학교	서울특별시 동작구 장승배기로 14	126.9440875	37.5003417	유지
S010001601	서울신성초등학교	서울특별시 관악구 신림로 114	126.9373281	37.4718057	유지
S010001602	서울신우초등학교	서울특별시 관악구 호암로 498	126.9328163	37.4625902	유지
S010001603	서울영본초등학교	서울특별시 동작구 만양로12가길 69	126.9485634	37.5106172	유지
S010001604	서울영화초등학교	서울특별시 동작구 등용로8길 3	126.9328621	37.5089181	유지
S010001605	서울원당초등학교	서울특별시 관악구 봉천로 505	126.956501	37.4812297	유지
