sido	gu	name	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022
서울	송파구	서울잠실초등학교	0	33	38	38	39	39	39	40	40	41	42	42	42	42	42	0	998	1113	1147	1142	1131	1161	1123	1151	1183	1262	1227	1100	1123	1095
서울	송파구	서울잠일초등학교	0	43	46	46	47	47	57	57	57	57	57	58	58	58	58	0	1579	1721	1820	1868	1818	1813	1784	1800	1818	1855	1912	1895	1800	1742
서울	송파구	서울잠전초등학교	45	42	40	38	36	32	31	30	30	31	30	30	30	30	27	1361	1244	1130	1028	903	810	763	746	715	711	705	685	619	566	525
서울	송파구	서울잠현초등학교	0	28	26	27	29	30	30	30	30	30	30	31	31	32	33	0	602	632	690	714	736	762	754	783	815	806	851	862	913	916
서울	송파구	서울중대초등학교	48	48	46	46	46	47	46	44	42	42	44	44	45	45	46	1639	1466	1351	1280	1235	1154	1158	1045	1067	1040	1049	1025	1030	1041	1028
서울	송파구	서울토성초등학교	42	42	41	40	39	38	38	39	38	39	39	39	38	38	37	1292	1176	1110	1060	998	948	941	922	935	912	881	869	830	788	719
서울	송파구	서울평화초등학교	22	22	21	18	18	17	17	16	16	16	16	16	15	13	13	634	574	511	460	404	356	330	288	262	252	235	224	207	192	176
서울	송파구	서울풍납초등학교	48	46	44	41	39	36	36	34	31	30	30	30	28	25	23	1403	1275	1110	1042	945	840	796	745	703	623	562	531	461	427	388
서울	송파구	서울풍성초등학교	22	17	18	18	17	18	18	18	18	18	18	19	19	18	19	551	490	433	414	384	373	350	344	293	258	242	242	293	320	307
서울	송파구	서울해누리초등학교	0	0	0	0	0	0	0	0	0	0	0	26	26	26	28	0	0	0	0	0	0	0	0	0	0	0	449	568	590	610
서울	양천구	서울갈산초등학교	46	46	44	43	41	40	39	38	36	37	40	40	40	40	40	1495	1387	1304	1198	1125	1043	975	987	964	964	1007	1041	1065	1034	1069
서울	양천구	서울강서초등학교	49	49	48	47	47	47	47	49	49	49	50	50	50	50	49	1577	1482	1402	1375	1291	1223	1252	1258	1230	1211	1219	1243	1124	1082	1026
서울	양천구	서울강신초등학교	39	39	38	38	38	38	38	36	40	40	40	39	37	37	37	1179	1177	1159	1116	1056	998	974	955	999	952	940	932	860	820	774
서울	양천구	서울강월초등학교	52	51	49	47	46	43	39	39	38	38	36	36	34	33	31	1627	1504	1400	1264	1130	1023	963	926	871	837	783	781	732	633	565
서울	양천구	서울경인초등학교	37	37	36	36	36	36	35	36	36	36	36	36	36	37	37	1214	1097	1077	1069	1052	1011	986	1061	1084	1110	1137	1177	1247	1179	1138
서울	양천구	서울계남초등학교	46	46	46	46	44	43	41	41	39	39	39	38	36	35	35	1591	1520	1367	1273	1151	1053	991	986	930	888	892	869	827	777	784
